filename,PR_mean,QRS_mean,QT_mean,P_duration_mean,R_amplitude_mean,T_amplitude_mean,RR_mean,SDNN,RMSSD
0.asc,166.8,155.77777777777774,228.88888888888889,77.8,0.4310714603778399,0.00032242893675119634,940.0,16.32993161855452,22.627416997969522
1.asc,239.0,174.28571428571428,472.85714285714283,91.0,0.36057636420094885,0.3836227126417674,1258.2857142857142,76.69180303696884,54.54661614924736
2.asc,173.0,140.66666666666666,456.22222222222234,77.6,0.5321141101126715,0.19706509113375847,940.4444444444445,18.87450432674318,17.60681686165901
3.asc,177.5,160.72727272727272,410.3636363636364,112.5,0.2975334442152058,0.2925860105423258,800.5454545454545,43.25897413225615,34.911316216951775
4.asc,190.2,150.88888888888889,412.6666666666667,54.4,0.28361407121662546,0.14518963188974793,905.2,48.400000000000006,57.271284253105414
5.asc,187.69230769230765,142.83333333333331,395.1666666666666,92.30769230769228,0.3241383847892199,0.2712309749596574,722.0,35.07135583350036,31.211885847891637
6.asc,188.6666666666667,120.22222222222211,409.33333333333326,78.22222222222227,1.3488359030505337,0.23822266538457365,967.5555555555555,17.30196591984154,31.392674304684526
7.asc,217.16666666666666,129.45454545454547,385.8181818181818,108.33333333333333,0.7094602706745015,0.24103916131963132,814.0,13.12873323529869,16.601204775557708
8.asc,192.0,160.0,429.1111111111111,101.4,0.17792968285486993,0.1729251276048506,985.7777777777778,32.81523283740098,23.958297101421877
9.asc,203.4,165.77777777777777,394.8888888888889,100.8,0.3203068996189439,0.23086483546910105,953.5555555555555,57.98680139309694,49.02040391510457
10.asc,174.36363636363637,193.4,442.0,82.36363636363636,0.4152356990049324,0.22565169941776464,890.0,87.33842224359219,109.77957713325168
11.asc,278.0,163.14285714285714,461.7142857142857,59.75,0.3232942254313105,0.1984034247679413,1242.2857142857142,80.62915864927399,114.76352498362303
12.asc,158.76923076923077,145.83333333333334,268.3333333333333,92.3076923076923,0.19443900455056232,0.005758086769861518,755.1666666666666,25.119160460139234,28.957649326999153
13.asc,185.66666666666666,141.45454545454547,384.18181818181824,59.66666666666659,0.3444001238292234,0.12336157359674259,807.6363636363636,63.51416839396435,72.10547829395489
14.asc,212.4,170.44444444444434,444.44444444444434,87.99999999999996,0.2972793885194313,0.09908163944223751,978.4444444444445,108.8190252065951,119.34194568549651
15.asc,180.30769230769232,154.30769230769232,420.15384615384613,86.0,0.13833786406059112,0.14474548300084508,730.1538461538462,32.68932113055166,13.674794331177344
16.asc,131.08333333333334,142.1818181818182,263.8181818181818,45.833333333333336,0.5933478205663206,0.04311747467738979,395.4166666666667,45.553921041137855,49.86590714759107
17.asc,139.99999999999997,160.36363636363637,272.0,44.19047619047617,0.5269022835174818,0.07245794624781574,466.8,42.82242403227542,48.52779995446994
18.asc,210.44444444444446,199.25,451.0,94.88888888888889,0.27165139368473284,0.26472313662937547,1059.25,78.19806583285803,113.38178236131486
19.asc,139.36363636363637,162.66666666666666,234.0,47.0,0.6510401291536685,-0.03131466695691681,429.42857142857144,3.553287258319549,3.4351128074635335
20.asc,186.54545454545453,181.6,387.27272727272725,93.81818181818181,0.25733343566371225,0.17306010763547552,810.0,88.58893836140041,110.392028697728
21.asc,179.0,156.5454545454546,340.1818181818182,89.66666666666667,0.4697151640727156,0.0689819659643743,750.5454545454545,27.63516743822702,31.60379724020517
22.asc,139.14285714285717,158.8,228.4,51.61904761904764,0.6472579269220581,-0.040726108746792306,469.3,6.5810333535091585,6.223892841723993
23.asc,262.44444444444446,126.25,450.25,78.88888888888889,0.6447190775985828,0.2921255892748895,1091.25,9.270248108869579,11.058287131636359
24.asc,178.4,111.28571428571425,344.57142857142856,86.93333333333334,0.5556135368219491,0.1800046928657468,663.2857142857143,43.61262689279099,39.6057493883828
25.asc,208.8571428571428,166.6666666666666,253.16666666666666,111.0,0.6214148798187956,-0.07648011367356797,681.5384615384615,2.2400338120863137,2.0
26.asc,204.2,188.22222222222223,392.6666666666667,76.00000000000009,0.4906800662190681,0.24096386024236285,961.7777777777778,53.22025048539695,52.16799785308997
27.asc,182.13333333333333,160.57142857142858,231.57142857142858,99.86666666666666,0.7002875966266437,-0.07041570704404518,679.0,6.35834659550511,5.817744738827396
28.asc,196.57142857142858,124.30769230769228,359.2307692307692,80.85714285714286,0.1438966541230953,0.125369277509848,628.4285714285714,35.53009646907873,22.951453783349557
29.asc,194.6,159.33333333333334,434.22222222222234,68.0,0.6225456555969658,0.2488762405097567,940.8888888888889,9.480324003422906,9.72111104761179
30.asc,210.0,173.0,424.4,92.36363636363636,0.40080359718519093,0.19991700764391052,882.4,19.011575421305828,20.698899595013366
31.asc,142.6250000000001,142.66666666666663,361.06666666666666,75.25000000000006,0.09556577285922198,0.16114909130206212,606.4,28.276727769198,17.204650534085253
32.asc,184.0,111.27272727272735,374.3636363636364,89.5,0.41604679983738824,0.2050462293930423,798.3636363636364,12.786873434557995,14.268847185389575
33.asc,146.09523809523813,202.33333333333334,243.66666666666666,43.333333333333336,0.7298128551996351,-0.04802189221846508,452.9,6.556675987114202,5.947135533400226
34.asc,179.00000000000003,132.1818181818182,353.09090909090907,63.16666666666663,0.39514256005658605,0.18407380498832002,797.6363636363636,32.460529114806846,40.52653451752321
35.asc,175.42857142857136,156.30769230769235,315.6923076923077,94.85714285714286,0.7298220764747783,0.021665871892224735,662.1538461538462,29.251814286523395,15.620499351813308
36.asc,220.2,192.66666666666666,431.75,70.2,0.5649508052068967,0.38084060577532486,1003.1111111111111,103.66231978501096,153.04247776352813
37.asc,175.16666666666666,138.18181818181822,289.2727272727273,69.99999999999996,0.135722154217899,0.047083814804010714,824.7272727272727,16.58636301352798,21.099763031844695
38.asc,185.4285714285715,160.20000000000005,283.4,102.28571428571429,0.8153195485040845,-0.07813348812918368,680.1538461538462,7.704605554183947,4.618802153517006
39.asc,244.0,264.80000000000007,411.4000000000001,97.0909090909091,0.7942256723867639,0.10465781593924592,915.0,62.547581887711694,71.96912918436318
40.asc,167.66666666666663,150.72727272727278,370.72727272727275,70.66666666666667,0.27808101323007683,0.09955950569734125,826.3636363636364,10.645295395130507,13.386560424545209
41.asc,214.22222222222223,171.71428571428572,422.25,86.22222222222223,0.47554460386314873,0.23897763835893127,1013.25,57.895919545335836,88.93978701506832
42.asc,166.61538461538456,152.16666666666674,396.16666666666674,74.76923076923077,0.2245275398682498,0.16157174560880952,755.1666666666666,27.06114475693066,26.88696879361991
43.asc,192.6,134.44444444444446,454.22222222222234,82.2,0.2961748931408772,0.2344686015330918,1006.6666666666666,68.56626964720579,76.91553809211764
